segment_id,podcast_name_cleaned,label
43,pod save america,0.9
43,pod save america,0.2
43,pod save america,0.5
44,Bill OReillys No Spin News and Analysis,0.1
44,Bill OReillys No Spin News and Analysis,0.2
44,Bill OReillys No Spin News and Analysis,0.9
44,Bill OReillys No Spin News and Analysis,0.6
44,Bill OReillys No Spin News and Analysis,0.5
44,Bill OReillys No Spin News and Analysis,0.8
44,Bill OReillys No Spin News and Analysis,0.8
44,Bill OReillys No Spin News and Analysis,0.5
44,Bill OReillys No Spin News and Analysis,0.8
44,Bill OReillys No Spin News and Analysis,0.8
45,FiveThirtyEight Politics,0.9
45,FiveThirtyEight Politics,0.3
45,FiveThirtyEight Politics,0.9
45,FiveThirtyEight Politics,0.1
45,FiveThirtyEight Politics,0
45,FiveThirtyEight Politics,1
45,FiveThirtyEight Politics,0.5
45,FiveThirtyEight Politics,0.2
45,FiveThirtyEight Politics,1
46,Steve Deace,0.3
46,Steve Deace,0.9
46,Steve Deace,0
46,Steve Deace,0.8
46,Steve Deace,0.1
46,Steve Deace,0.8
47,joe rogan,0.5
47,joe rogan,0.9
47,joe rogan,0.1
47,joe rogan,0.6
47,joe rogan,0.2
47,joe rogan,0.2
47,joe rogan,0.1
47,joe rogan,0.7
48,pod save america,0.5
48,pod save america,0.7
48,pod save america,0.8
48,pod save america,0.5
48,pod save america,0.8
48,pod save america,0.8
49,Bill OReillys No Spin News and Analysis,0.5
49,Bill OReillys No Spin News and Analysis,0.5
49,Bill OReillys No Spin News and Analysis,0.2
49,Bill OReillys No Spin News and Analysis,0.5
49,Bill OReillys No Spin News and Analysis,0.6
49,Bill OReillys No Spin News and Analysis,1
49,Bill OReillys No Spin News and Analysis,0.1
49,Bill OReillys No Spin News and Analysis,0.6
50,Candace Owens,0.5
50,Candace Owens,0.8
50,Candace Owens,0.3
50,Candace Owens,0.5
50,Candace Owens,0.5
51,Common Sense with Dan Carlin,1
51,Common Sense with Dan Carlin,0.2
51,Common Sense with Dan Carlin,0.5
51,Common Sense with Dan Carlin,0.9
51,Common Sense with Dan Carlin,0.1
51,Common Sense with Dan Carlin,0.5
51,Common Sense with Dan Carlin,0.7
51,Common Sense with Dan Carlin,0.9
52,FiveThirtyEight Politics,0.1
52,FiveThirtyEight Politics,0.1
52,FiveThirtyEight Politics,1
52,FiveThirtyEight Politics,0.2
52,FiveThirtyEight Politics,0.5
52,FiveThirtyEight Politics,0.5
52,FiveThirtyEight Politics,0.6
52,FiveThirtyEight Politics,0.1
53,FiveThirtyEight Politics,0.3
53,FiveThirtyEight Politics,0.2
53,FiveThirtyEight Politics,0
53,FiveThirtyEight Politics,0.7
53,FiveThirtyEight Politics,0.2
53,FiveThirtyEight Politics,0
54,THE SAVAGE NATION,0.5
54,THE SAVAGE NATION,0.1
54,THE SAVAGE NATION,0.9
54,THE SAVAGE NATION,0.2
54,THE SAVAGE NATION,0.5
54,THE SAVAGE NATION,0.1
55,The Clay Travis and Buck Sexton Show,0.5
55,The Clay Travis and Buck Sexton Show,0.1
55,The Clay Travis and Buck Sexton Show,0
55,The Clay Travis and Buck Sexton Show,0.9
55,The Clay Travis and Buck Sexton Show,0.9
55,The Clay Travis and Buck Sexton Show,0.1
55,The Clay Travis and Buck Sexton Show,0.1
56,ben shapiro,0
56,ben shapiro,0.7
56,ben shapiro,0.5
56,ben shapiro,0.1
56,ben shapiro,0.1
56,ben shapiro,0.8
57,mark levin,0.1
57,mark levin,0.1
57,mark levin,0.5
57,mark levin,0.5
58,mark levin,0.8
58,mark levin,0.5
58,mark levin,0.2
58,mark levin,1
58,mark levin,0.1
59,mark levin,1
59,mark levin,1
59,mark levin,0.7
59,mark levin,0.2
59,mark levin,0.7
59,mark levin,0.1
60,pod save america,0.1
60,pod save america,0.8
60,pod save america,0.5
60,pod save america,1
60,pod save america,1
60,pod save america,0.1
60,pod save america,0.2
61,FiveThirtyEight Politics,0.1
61,FiveThirtyEight Politics,0.9
61,FiveThirtyEight Politics,1
61,FiveThirtyEight Politics,0.8
61,FiveThirtyEight Politics,0.7
61,FiveThirtyEight Politics,0.5
61,FiveThirtyEight Politics,0.9
62,Stay Tuned with Preet,0.8
62,Stay Tuned with Preet,0.5
62,Stay Tuned with Preet,1
62,Stay Tuned with Preet,0.5
62,Stay Tuned with Preet,0.2
63,The Clay Travis and Buck Sexton Show,0.3
63,The Clay Travis and Buck Sexton Show,0.1
63,The Clay Travis and Buck Sexton Show,1
63,The Clay Travis and Buck Sexton Show,0.8
63,The Clay Travis and Buck Sexton Show,0.5
63,The Clay Travis and Buck Sexton Show,1
63,The Clay Travis and Buck Sexton Show,1
64,dan bongino,0.2
64,dan bongino,0.1
64,dan bongino,0.1
64,dan bongino,1
64,dan bongino,0.2
64,dan bongino,0.5
65,mark levin,0.3
65,mark levin,1
65,mark levin,1
65,mark levin,0.1
65,mark levin,0.9
66,transcripts,0.3
66,transcripts,1
66,transcripts,1
66,transcripts,0.8
66,transcripts,0.5
67,FiveThirtyEight Politics,0.6
67,FiveThirtyEight Politics,1
67,FiveThirtyEight Politics,1
67,FiveThirtyEight Politics,0.5
67,FiveThirtyEight Politics,0.5
68,THE SAVAGE NATION,0.1
68,THE SAVAGE NATION,1
68,THE SAVAGE NATION,0.2
68,THE SAVAGE NATION,0.3
68,THE SAVAGE NATION,0.1
68,THE SAVAGE NATION,0.5
68,THE SAVAGE NATION,0.7
69,joe rogan,0.8
69,joe rogan,0.1
69,joe rogan,0.1
69,joe rogan,0.5
69,joe rogan,0.3
70,Common Sense with Dan Carlin,0.5
70,Common Sense with Dan Carlin,0.4
70,Common Sense with Dan Carlin,0.1
70,Common Sense with Dan Carlin,0.6
70,Common Sense with Dan Carlin,0.1
70,Common Sense with Dan Carlin,0.1
70,Common Sense with Dan Carlin,0.5
70,Common Sense with Dan Carlin,0.5
71,FiveThirtyEight Politics,0.2
71,FiveThirtyEight Politics,0
71,FiveThirtyEight Politics,0.8
71,FiveThirtyEight Politics,0.2
71,FiveThirtyEight Politics,0.1
71,FiveThirtyEight Politics,0.5
71,FiveThirtyEight Politics,0.8
71,FiveThirtyEight Politics,0.1
71,FiveThirtyEight Politics,0.1
72,FiveThirtyEight Politics,0.2
72,FiveThirtyEight Politics,0.7
72,FiveThirtyEight Politics,0.1
72,FiveThirtyEight Politics,0.8
72,FiveThirtyEight Politics,0.9
72,FiveThirtyEight Politics,0.1
72,FiveThirtyEight Politics,0.3
73,The Clay Travis and Buck Sexton Show,0.5
73,The Clay Travis and Buck Sexton Show,0.1
73,The Clay Travis and Buck Sexton Show,0.2
73,The Clay Travis and Buck Sexton Show,0.4
73,The Clay Travis and Buck Sexton Show,0.5
73,The Clay Travis and Buck Sexton Show,0.1
74,FiveThirtyEight Politics,0.2
74,FiveThirtyEight Politics,0.9
74,FiveThirtyEight Politics,0.9
74,FiveThirtyEight Politics,0.6
74,FiveThirtyEight Politics,0.3
75,The Clay Travis and Buck Sexton Show,0.2
75,The Clay Travis and Buck Sexton Show,0.9
75,The Clay Travis and Buck Sexton Show,0
75,The Clay Travis and Buck Sexton Show,1
75,The Clay Travis and Buck Sexton Show,0.5
75,The Clay Travis and Buck Sexton Show,1
75,The Clay Travis and Buck Sexton Show,0.5
76,ben shapiro,0.2
76,ben shapiro,0.5
77,joe rogan,0.7
77,joe rogan,0.5
77,joe rogan,0.3
77,joe rogan,0.4
78,pod save america,0
78,pod save america,0.9
